$P$ (bar),$V$ (cm$^3$/mol),$p_F$ ($10^{-20}$ g cm/sec),$v_F$ ($10^3$ cm/sec),$\kappa T$ (erg/sec cm),$\tau_\kappa T^2$ ($10^{-12}$ sec K$^2$),$b$ (cm sec/erg K)
0.0,36.84,8.28,6.0,29.08,0.391,-0.42
3.0,33.87,8.52,5.42,23.36,0.329,-0.6
6.0,32.07,8.67,5.04,19.89,0.291,-0.78
9.0,30.76,8.79,4.72,17.37,0.263,-0.97
12.0,29.71,8.89,4.47,15.35,0.241,-1.19
15.0,28.86,8.98,4.24,13.71,0.222,-1.42
18.0,28.13,9.06,4.03,12.3,0.206,-1.69
21.0,27.56,9.12,3.86,11.2,0.193,-1.96
24.0,27.06,9.18,3.71,10.24,0.181,-2.26
27.0,26.58,9.23,3.57,9.32,0.169,-2.63
30.0,26.14,9.28,3.44,8.47,0.158,-3.06
33.0,25.71,9.34,3.3,7.64,0.147,-3.62
34.36,25.54,9.36,3.24,7.31,0.143,-3.89
